,Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change
9,1994.0,Group C,Spain,2.0,2.0,South Korea, ,0.0,0.0,337.0,ESP,KOR,2,62,61,3,35,41,41,0
19,1994.0,Group C,Germany,1.0,0.0,Bolivia, ,0.0,0.0,337.0,GER,BOL,5,61,61,1,44,37,37,1
29,1994.0,Group A,USA,1.0,1.0,Switzerland, ,1.0,1.0,337.0,USA,SUI,23,48,48,1,7,58,58,0
39,1994.0,Group E,Italy,0.0,1.0,Republic of Ireland, ,0.0,1.0,337.0,ITA,IRL,4,61,61,1,9,58,58,1
49,1994.0,Group A,Colombia,1.0,3.0,Romania, ,1.0,2.0,337.0,COL,ROU,17,53,53,2,11,57,57,0
59,1994.0,Group F,Belgium,1.0,0.0,Morocco, ,1.0,0.0,337.0,BEL,MAR,24,47,48,2,33,43,43,2
69,1994.0,Group E,Norway,1.0,0.0,Mexico, ,0.0,0.0,337.0,NOR,MEX,8,58,57,2,15,54,52,4
79,1994.0,Group B,Cameroon,2.0,2.0,Sweden, ,1.0,1.0,337.0,CMR,SWE,31,44,44,3,3,61,62,1
89,1994.0,Group F,Netherlands,2.0,1.0,Saudi Arabia, ,0.0,1.0,337.0,NED,KSA,6,60,60,0,27,45,45,0
99,1994.0,Group B,Brazil,2.0,0.0,Russia, ,1.0,0.0,337.0,BRA,RUS,1,67,67,0,13,54,54,1
109,1994.0,Group D,Argentina,4.0,0.0,Greece, ,2.0,0.0,337.0,ARG,GRE,10,57,58,1,28,45,43,4
119,1994.0,Group D,Nigeria,3.0,0.0,Bulgaria, ,2.0,0.0,337.0,NGA,BUL,12,54,54,0,16,54,52,1
129,1994.0,Group C,Germany,1.0,1.0,Spain, ,0.0,1.0,337.0,GER,ESP,5,61,61,1,2,62,61,3
139,1994.0,Group A,Romania,1.0,4.0,Switzerland, ,1.0,1.0,337.0,ROU,SUI,11,57,57,0,7,58,58,0
149,1994.0,Group A,USA,2.0,1.0,Colombia, ,1.0,0.0,337.0,USA,COL,23,48,48,1,17,53,53,2
159,1994.0,Group E,Italy,1.0,0.0,Norway, ,0.0,0.0,337.0,ITA,NOR,4,61,61,1,8,58,57,2
169,1994.0,Group C,South Korea,0.0,0.0,Bolivia, ,0.0,0.0,337.0,KOR,BOL,35,41,41,0,44,37,37,1
179,1994.0,Group E,Mexico,2.0,1.0,Republic of Ireland, ,1.0,0.0,337.0,MEX,IRL,15,54,52,4,9,58,58,1
189,1994.0,Group B,Sweden,3.0,1.0,Russia, ,1.0,1.0,337.0,SWE,RUS,3,61,62,1,13,54,54,1
199,1994.0,Group B,Brazil,3.0,0.0,Cameroon, ,1.0,0.0,337.0,BRA,CMR,1,67,67,0,31,44,44,3
209,1994.0,Group F,Belgium,1.0,0.0,Netherlands, ,0.0,0.0,337.0,BEL,NED,24,47,48,2,6,60,60,0
219,1994.0,Group F,Saudi Arabia,2.0,1.0,Morocco, ,2.0,1.0,337.0,KSA,MAR,27,45,45,0,33,43,43,2
229,1994.0,Group D,Argentina,2.0,1.0,Nigeria, ,2.0,1.0,337.0,ARG,NGA,10,57,58,1,12,54,54,0
239,1994.0,Group D,Bulgaria,4.0,0.0,Greece, ,1.0,0.0,337.0,BUL,GRE,16,54,52,1,28,45,43,4
249,1994.0,Group A,USA,0.0,1.0,Romania, ,0.0,1.0,337.0,USA,ROU,23,48,48,1,11,57,57,0
259,1994.0,Group A,Switzerland,0.0,2.0,Colombia, ,0.0,1.0,337.0,SUI,COL,7,58,58,0,17,53,53,2
269,1994.0,Group C,Germany,3.0,2.0,South Korea, ,3.0,0.0,337.0,GER,KOR,5,61,61,1,35,41,41,0
279,1994.0,Group C,Bolivia,1.0,3.0,Spain, ,0.0,1.0,337.0,BOL,ESP,44,37,37,1,2,62,61,3
289,1994.0,Group E,Republic of Ireland,0.0,0.0,Norway, ,0.0,0.0,337.0,IRL,NOR,9,58,58,1,8,58,57,2
299,1994.0,Group B,Brazil,1.0,1.0,Sweden, ,0.0,1.0,337.0,BRA,SWE,1,67,67,0,3,61,62,1
309,1994.0,Group E,Italy,1.0,1.0,Mexico, ,0.0,0.0,337.0,ITA,MEX,4,61,61,1,15,54,52,4
319,1994.0,Group B,Russia,6.0,1.0,Cameroon, ,3.0,0.0,337.0,RUS,CMR,13,54,54,1,31,44,44,3
329,1994.0,Group F,Morocco,1.0,2.0,Netherlands, ,0.0,1.0,337.0,MAR,NED,33,43,43,2,6,60,60,0
339,1994.0,Group F,Belgium,0.0,1.0,Saudi Arabia, ,0.0,1.0,337.0,BEL,KSA,24,47,48,2,27,45,45,0
349,1994.0,Group D,Greece,0.0,2.0,Nigeria, ,0.0,1.0,337.0,GRE,NGA,28,45,43,4,12,54,54,0
359,1994.0,Group D,Argentina,0.0,2.0,Bulgaria, ,0.0,0.0,337.0,ARG,BUL,10,57,58,1,16,54,52,1
369,1994.0,Round of 16,Germany,3.0,2.0,Belgium, ,3.0,1.0,338.0,GER,BEL,5,61,61,1,24,47,48,2
379,1994.0,Round of 16,Spain,3.0,0.0,Switzerland, ,1.0,0.0,338.0,ESP,SUI,2,62,61,3,7,58,58,0
389,1994.0,Round of 16,Saudi Arabia,1.0,3.0,Sweden, ,0.0,1.0,338.0,KSA,SWE,27,45,45,0,3,61,62,1
399,1994.0,Round of 16,Romania,3.0,2.0,Argentina, ,2.0,1.0,338.0,ROU,ARG,11,57,57,0,10,57,58,1
409,1994.0,Round of 16,Netherlands,2.0,0.0,Republic of Ireland, ,2.0,0.0,338.0,NED,IRL,6,60,60,0,9,58,58,1
419,1994.0,Round of 16,Brazil,1.0,0.0,USA, ,0.0,0.0,338.0,BRA,USA,1,67,67,0,23,48,48,1
429,1994.0,Round of 16,Nigeria,1.0,2.0,Italy,Italy win after extra time ,0.0,0.0,338.0,NGA,ITA,12,54,54,0,4,61,61,1
439,1994.0,Round of 16,Mexico,1.0,1.0,Bulgaria,Bulgaria win on penalties (1 - 3) ,0.0,0.0,338.0,MEX,BUL,15,54,52,4,16,54,52,1
449,1994.0,Quarter-finals,Italy,2.0,1.0,Spain, ,1.0,0.0,796.0,ITA,ESP,4,61,61,1,2,62,61,3
459,1994.0,Quarter-finals,Netherlands,2.0,3.0,Brazil, ,0.0,0.0,796.0,NED,BRA,6,60,60,0,1,67,67,0
469,1994.0,Quarter-finals,Bulgaria,2.0,1.0,Germany, ,0.0,0.0,796.0,BUL,GER,16,54,52,1,5,61,61,1
479,1994.0,Quarter-finals,Romania,2.0,2.0,Sweden,Sweden win on penalties (4 - 5) ,0.0,0.0,796.0,ROU,SWE,11,57,57,0,3,61,62,1
489,1994.0,Semi-finals,Bulgaria,1.0,2.0,Italy, ,1.0,2.0,3461.0,BUL,ITA,16,54,52,1,4,61,61,1
499,1994.0,Semi-finals,Sweden,0.0,1.0,Brazil, ,0.0,0.0,3461.0,SWE,BRA,3,61,62,1,1,67,67,0
509,1994.0,Match for third place,Sweden,4.0,0.0,Bulgaria, ,4.0,0.0,3460.0,SWE,BUL,3,61,62,1,16,54,52,1
519,1994.0,Final,Brazil,0.0,0.0,Italy,Brazil win on penalties (3 - 2) ,0.0,0.0,3459.0,BRA,ITA,1,67,67,0,4,61,61,1
529,1998.0,Group A,Brazil,2.0,1.0,Scotland, ,1.0,1.0,1014.0,BRA,SCO,1,73,74,0,38,50,50,2
539,1998.0,Group A,Morocco,2.0,2.0,Norway, ,1.0,1.0,1014.0,MAR,NOR,13,60,60,0,14,59,59,0
549,1998.0,Group B,Italy,2.0,2.0,Chile, ,1.0,1.0,1014.0,ITA,CHI,7,64,64,1,16,58,58,0
559,1998.0,Group B,Cameroon,1.0,1.0,Austria, ,0.0,0.0,1014.0,CMR,AUT,41,49,48,2,22,55,55,1
569,1998.0,Group D,Paraguay,0.0,0.0,Bulgaria, ,0.0,0.0,1014.0,PAR,BUL,25,55,55,1,49,45,46,3
579,1998.0,Group C,Saudi Arabia,0.0,1.0,Denmark, ,0.0,0.0,1014.0,KSA,DEN,30,53,53,3,19,55,55,1
589,1998.0,Group C,France,3.0,0.0,South Africa, ,1.0,0.0,1014.0,FRA,RSA,2,69,69,0,26,54,53,2
599,1998.0,Group D,Spain,2.0,3.0,Nigeria, ,1.0,1.0,1014.0,ESP,NGA,15,59,58,0,65,41,41,0
609,1998.0,Group E,South Korea,1.0,3.0,Mexico, ,1.0,0.0,1014.0,KOR,MEX,17,57,55,2,10,62,62,0
619,1998.0,Group E,Netherlands,0.0,0.0,Belgium, ,0.0,0.0,1014.0,NED,BEL,11,62,62,2,35,51,52,1
629,1998.0,Group H,Argentina,1.0,0.0,Japan, ,1.0,0.0,1014.0,ARG,JPN,5,66,66,0,20,55,52,10
639,1998.0,Group F,Yugoslavia,1.0,0.0,Iran, ,0.0,0.0,1014.0,YUG,IRN,6,65,64,1,27,54,46,17
649,1998.0,Group H,Jamaica,1.0,3.0,Croatia, ,1.0,1.0,1014.0,JAM,CRO,33,52,52,0,4,67,67,0
659,1998.0,Group G,England,2.0,0.0,Tunisia, ,1.0,0.0,1014.0,ENG,TUN,9,63,62,2,21,55,55,1
669,1998.0,Group G,Romania,1.0,0.0,Colombia, ,1.0,0.0,1014.0,ROU,COL,12,60,60,0,34,52,52,2
679,1998.0,Group F,Germany,2.0,0.0,USA, ,1.0,0.0,1014.0,GER,USA,3,67,67,0,23,55,55,1
689,1998.0,Group A,Scotland,1.0,1.0,Norway, ,0.0,0.0,1014.0,SCO,NOR,38,50,50,2,14,59,59,0
699,1998.0,Group A,Brazil,3.0,0.0,Morocco, ,2.0,0.0,1014.0,BRA,MAR,1,73,74,0,13,60,60,0
709,1998.0,Group B,Chile,1.0,1.0,Austria, ,0.0,0.0,1014.0,CHI,AUT,16,58,58,0,22,55,55,1
